filename,mjdtime,total_flux,e_total_flux,peak_flux,e_peak_flux
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:47:40.0.45GHz.G023.01-00.4.ITime.fits,60355.6164236,8937.34832186777,778.324799845511,9160.92028349881,420.432686797127
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:47:42.0.45GHz.G023.01-00.4.ITime.fits,60355.6164468,10556.0807718628,936.62036703838,8293.37086857999,433.487170692747
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:47:44.0.45GHz.G023.01-00.4.ITime.fits,60355.6164699,10526.5829477314,913.941365146337,8318.78434683763,424.012899149434
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:47:46.0.45GHz.G023.01-00.4.ITime.fits,60355.616493,8628.39530079167,700.469160621756,8409.83417970248,377.916169647087
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:47:48.0.45GHz.G023.01-00.4.ITime.fits,60355.6165162,8110.30068890712,649.293557859633,7899.11936481443,350.967781006464
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:47:50.0.45GHz.G023.01-00.4.ITime.fits,60355.6165394,7638.77282481618,611.200165670822,7451.03880420192,330.343911537992
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:47:52.0.45GHz.G023.01-00.4.ITime.fits,60355.6165625,7304.67637951466,595.18326435198,7069.11656560117,319.883076283687
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:47:54.0.45GHz.G023.01-00.4.ITime.fits,60355.6165857,6585.73912803552,541.248932187558,6365.60031120099,291.33213211553
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:47:56.0.45GHz.G023.01-00.4.ITime.fits,60355.6166088,6158.87553673234,512.266538646718,6011.81105872607,277.428901256002
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:47:58.0.45GHz.G023.01-00.4.ITime.fits,60355.616632,5504.1960900673,486.366047289001,5424.28197307289,262.926838082214
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:48:00.0.45GHz.G023.01-00.4.ITime.fits,60355.6166551,5135.16634042738,441.396425487743,5172.63834657811,242.748782091458
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:48:02.0.45GHz.G023.01-00.4.ITime.fits,60355.6166782,4901.14530255047,427.372804085923,5019.36664723645,238.339008626078
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:48:04.0.45GHz.G023.01-00.4.ITime.fits,60355.6167014,4396.90095859047,414.251373821156,4721.15183636731,238.009146209826
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:48:06.0.45GHz.G023.01-00.4.ITime.fits,60355.6167246,4875.54907308729,422.828865903319,5023.42620111056,236.173442497063
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:48:08.0.45GHz.G023.01-00.4.ITime.fits,60355.6167477,5093.33585282411,433.079704734731,5026.30004733374,234.842743388457
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:48:10.0.45GHz.G023.01-00.4.ITime.fits,60355.6167709,3857.17092145278,378.68435477867,3898.36747860303,207.925856283225
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:48:12.0.45GHz.G023.01-00.4.ITime.fits,60355.616794,4322.99693921367,389.232516384277,4381.50197922773,215.174370906226
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:48:31.0.45GHz.J1832-1035.ITime.fits,60355.6170138,3529.17471163872,441.488216856194,3277.64794097133,229.609295611202
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:48:33.0.45GHz.J1832-1035.ITime.fits,60355.617037,3971.45612698612,476.870839870339,3390.18402705169,236.296388472293
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:48:35.0.45GHz.J1832-1035.ITime.fits,60355.6170601,3634.86355692783,425.768466047841,3400.08975194522,221.422848913299
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:48:37.0.45GHz.J1832-1035.ITime.fits,60355.6170833,3662.81590552767,477.299386254462,3560.07845917737,256.946947531371
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:48:39.0.45GHz.J1832-1035.ITime.fits,60355.6171064,3523.52437386566,489.671279643635,3170.79710105822,251.667986185853
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:48:41.0.45GHz.J1832-1035.ITime.fits,60355.6171296,3708.87340784009,415.369590816886,3220.23063641526,207.362846032369
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:48:43.0.45GHz.J1832-1035.ITime.fits,60355.6171528,3784.22706045886,464.13864513632,3416.81861019807,237.137876230586
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:48:45.0.45GHz.J1832-1035.ITime.fits,60355.6171759,4254.86057251848,527.241647915887,3707.18195572581,266.231319142709
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:48:47.0.45GHz.J1832-1035.ITime.fits,60355.617199,3832.98495892228,505.673178525593,3351.47575470287,257.4180006104
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:48:49.0.45GHz.J1832-1035.ITime.fits,60355.6172222,4725.29645234253,557.864072237464,3831.81180786402,267.304920124522
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:48:51.0.45GHz.J1832-1035.ITime.fits,60355.6172453,4533.65910100267,510.989486349272,4048.98346067891,257.744825690207
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:48:53.0.45GHz.J1832-1035.ITime.fits,60355.6172684,3985.19255386678,519.601764058598,3378.59553417482,259.781889115308
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:48:55.0.45GHz.J1832-1035.ITime.fits,60355.6172916,3797.36636611526,498.340833925382,3650.46551664917,267.743297770546
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:48:57.0.45GHz.J1832-1035.ITime.fits,60355.6173148,3893.61207947137,422.699012292687,3730.70311804346,222.907328307799
/roadraid/vpipe/vdpstaging/ASKAPJ1832/2sec/Images/2024-02-15T14:48:59.0.45GHz.J1832-1035.ITime.fits,60355.6173379,4083.23610000814,504.310757534776,3522.19931850878,250.008471269397
